Item,MAE,MSE,RMSE,MAPE
Allgäuer Hof-Milch Butter mild gesäuert 250g,0.23333333333333334,0.23333333333333334,0.48304589153964794,9.00900900900901
Bio Aubergine 1 Stück,0.07333333333333333,0.03133333333333334,0.17701224063135673,6.223034363737883
Blumenkohl weiß 1 Stück,0.37476015017726316,0.15038686631891246,0.38779745527647863,10.156472145253554
Blumenkohl/Broccoli 500g,0.0,0.0,0.0,0.0
Broccoli 500g,0.023333333333333355,0.0023333333333333374,0.048304589153964836,1.303538175046556
Eisbergsalat 1 Stück,0.04666666666666671,0.004666666666666676,0.06831300510639739,3.617571059431527
Galiamelone 1 Stück,0.37000000000000005,0.37700000000000006,0.6140032573203501,19.82819123550715
Karotten 1kg,0.1,0.05,0.22360679774997896,14.49275362318841
"Kartoffeln vorwiegend festkochend 2,5kg",0.19666666666666668,0.06499999999999999,0.2549509756796392,11.534102813900814
Mango vorgereift 1 Stück,0.2799999999999999,0.18199999999999988,0.4266145801540307,38.01137405980555
Meggle Feine Butter 250g,0.2200074313994323,0.2420032658637754,0.49193827444484883,8.83556663521898
Orangen 2kg im Netz,0.3133333333333333,0.15866666666666676,0.3983298465677243,12.646184684750612
REWE Beste Wahl Feinschmecker Hähnchen 1200g,0.09333333333333342,0.018666666666666703,0.13662601021279477,1.6119746689694892
REWE Bio Eisbergsalat 1 Stück,0.0,0.0,0.0,0.0
REWE Bio Zucchini 500g,0.3400799382571674,0.401327382383915,0.6335040508030829,20.120254463556968
REWE Regional Blumenkohl/Broccoli 500g,0.02666666666666669,0.0026666666666666713,0.051639777949432274,0.7866273352999023
Rewe Beste Wahl Eier aus Freilandhaltung 10 Stück,0.04666666666666671,0.004666666666666676,0.06831300510639739,1.7348203221809182
Rispentomaten ca. 100g,0.0,0.0,0.0,0.0
Spitzkohl ca. 1kg,0.16333335012808659,0.11433332304654688,0.33813210886655953,8.20770572088756
Tafeltrauben hell kernlos 500g,0.42000000000000004,0.19133333333333333,0.43741665872864666,18.18434734224757
UNSER LAND Bio Karotten 1kg,0.0,0.0,0.0,0.0
Zitronen 500g im Netz,0.07000000000000002,0.021000000000000005,0.1449137674618944,8.860759493670885
Zwiebeln 2kg im Netz,0.23333333333333336,0.13533333333333333,0.3678767909685705,16.803510542329864
ja! Basmati Reis 1kg,0.0,0.0,0.0,0.0
"ja! H-Milch 3,5% 1l",0.03200000000000003,0.0012800000000000025,0.03577708763999667,2.935779816513763
ja! Sonnenblumenmargarine 500g,0.0,0.0,0.0,0.0
ja! Sonnenblumenöl 1l,0.0,0.0,0.0,0.0
